İletişim,Bireyler arasında bilgi ve duyguların paylaşımı; sağlıklı ilişkilerin temelini oluşturur (Gottman, 1994).
Ruhsal Sağlık,Bireyin duygusal, psikolojik ve sosyal iyilik hali; genel sağlık üzerinde önemli bir etkisi vardır (American Psychiatric Association, 2013).
Duygusal Zeka,Duyguları anlama, yönetme ve başkalarıyla etkili bir şekilde etkileşim kurma yeteneği; sosyal ilişkilerde başarı için kritik öneme sahiptir (Goleman, 1995).
Sosyal Destek,Bireylerin zor zamanlarında aldıkları yardım ve destek; ruhsal sağlığı olumlu yönde etkileyebilir (Cacioppo & Cacioppo, 2014).
Aşırı Kaygı,Normal kaygı seviyelerinin üzerinde, günlük yaşamı olumsuz etkileyen durum; anksiyete bozuklukları ile ilişkilidir (American Psychiatric Association, 2013).
Kayıp,Sevilen birinin, nesnenin veya bir durumun kaybı; derin bir yas sürecini tetikleyebilir (Parkes, 2010).
Uygunsuz Duygular,Ortama veya duruma uygun olmayan duygusal tepkiler; sosyal ilişkilerde sorunlara yol açabilir (Heller, 1995).
Yaralanma,Fiziksel veya psikolojik zarar; travma sonrası stres bozukluğu gibi durumların gelişmesine neden olabilir (Joiner, 2005).
Bağımlılık,Bir madde veya davranışa karşı duyulan aşırı ve kontrol edilemeyen istek; ruhsal sağlık sorunları ile ilişkilidir (American Psychiatric Association, 2013).
Kendine Zarar Verme,Bireyin bilinçli olarak kendisine zarar verme eylemi; ruhsal sağlık sorunlarını işaret edebilir (Harris, 1994).
Duygusal Dayanıklılık,Zorluklar ve stresle başa çıkma kapasitesi; bireylerin ruhsal sağlıklarını korumalarına yardımcı olur (Bonanno, 2004).
Ruhsal Kriz,Bireyin ruhsal sağlığını tehdit eden yoğun bir durum; profesyonel müdahale gerektirebilir (CFS Advisory Committee, 2000).
Yardımseverlik,Başkalarına yardım etme isteği ve eylemi; sosyal ilişkileri güçlendirir (Ryan & Deci, 2000).
Sosyal İzolasyon,Başkalarıyla sosyal bağlantıların eksikliği; ruhsal sağlık üzerinde olumsuz etkiler yaratabilir (Cacioppo & Cacioppo, 2014).
Zihinsel Sağlık Bozukluğu,Bireyin düşünce, duygu veya davranışlarını etkileyen bir durum; günlük yaşamı zorlaştırabilir (American Psychiatric Association, 2013).
Zihin Eğitimi,Zihinsel yetenekleri geliştirme süreci; ruhsal sağlığı iyileştirebilir (Seligman, 1975).
Kendilik Farkındalığı,Bireyin kendi düşünce, duygu ve davranışlarının farkında olması; ruhsal sağlığı olumlu etkileyebilir (Rogers, 1951).
Empatik Duygu Durumu,Başkalarının duygularını anlamaya ve onlara yanıt vermeye yönelik bir içsel durum; sosyal ilişkileri güçlendirir (Davis, 1983).
Zihinsel Esneklik,Zihinsel süreçlerdeki değişikliklere hızlı bir şekilde uyum sağlama yeteneği; stresle başa çıkmada yardımcı olabilir (Gross, 1998).
Duygu Yönetimi,Duyguları anlama ve yönetme becerisi; ruhsal sağlığı olumlu yönde etkileyebilir (Goleman, 1995).
İşlevsellik,Bireyin günlük yaşamda kendisini nasıl gerçekleştirdiği; ruhsal sağlıkla doğrudan ilişkilidir (American Psychiatric Association, 2013).
Ruhsal Destek,Bireyin ruhsal ihtiyaçlarını karşılamak için sağlanan yardım; sağlıklı ilişkilerin bir parçasıdır (Cacioppo & Cacioppo, 2014).
Anlam Arayışı,Bireyin yaşamında anlam ve amaç bulma çabası; ruhsal sağlığı olumlu yönde etkileyebilir (Seligman, 1975).
Karamsarlık,Olumsuz düşüncelerin ve duyguların baskın olması; ruhsal sağlık sorunlarıyla ilişkilidir (Beck, 1967).
İyimserlik,Olumlu düşüncelerin baskın olması; ruhsal sağlık üzerinde olumlu etkiler yaratır (Seligman, 1975).
Mizah,Zihinsel sağlığı iyileştiren ve sosyal bağlantıları güçlendiren bir araç; stresle başa çıkmada yardımcı olabilir (Fisher, 1993).
Sosyal Normlar,Bir grup içinde kabul edilen davranış standartları; bireylerin sosyal ilişkilerini şekillendirir (Gottman, 1994).
Gelişimsel Kriz,Bireyin yaşamında önemli değişimlerin meydana geldiği dönem; ruhsal sağlık üzerinde etkili olabilir (Roth, 1986).
Başarısızlık Korkusu,Başarısızlık durumunda yaşanan kaygı; bireylerin risk almalarını engelleyebilir (Ryan & Deci, 2000).
Kendilik Tanımlaması,Bireyin kendini nasıl tanımladığı ve kimlik geliştirme süreci; ruhsal sağlığı etkileyebilir (Rogers, 1951).
Özgürlük,Bireyin kendi kararlarını verme ve seçim yapma yeteneği; ruhsal sağlığı olumlu etkileyebilir (Ryan & Deci, 2000).
Aşırı Sorun Çözme,Problemleri aşırı bir şekilde analiz etme; ruhsal sağlık üzerinde olumsuz etkiler yaratabilir (Gross, 1998).
Duygusal Zeka Gelişimi,Duygusal zeka yeteneklerini artırma süreci; sosyal ilişkilerdeki başarıyı artırabilir (Goleman, 1995).
Anlamlı İlişkiler,Bireyin hayatında derin anlam taşıyan sosyal bağlantılar; ruhsal sağlığı iyileştirir (Cacioppo & Cacioppo, 2014).
Bağlantısallık,İnsanların birbiriyle kurduğu sosyal bağlantıların karmaşıklığı; ruhsal sağlık üzerinde etkili olabilir (Cacioppo & Cacioppo, 2014).
Bilinçli Farkındalık,Anlık deneyimlere ve düşüncelere dikkat etme yeteneği; stresle başa çıkmada yardımcı olabilir (Kabat-Zinn, 1990).
Bütünlük,Bireyin değerleri ve eylemleri arasındaki tutarlılık; ruhsal sağlığı olumlu yönde etkileyebilir (Rogers, 1951).
İnsanlık Durumu,İnsanların varoluşsal sorulara verdiği cevaplar; psikolojik sağlık ve ruhsal gelişim üzerinde etkili olabilir (Yalom, 1980).
Zihinsel Engeller,Bireylerin düşüncelerinde veya duygularında engeller oluşturan durumlar; ruhsal sağlığı olumsuz etkileyebilir (Seligman, 1975).
Duygu ve Düşünce Etkileşimi,Duyguların düşünceler üzerindeki etkisi ve tam tersi; bireyin ruhsal sağlığını şekillendirebilir (Beck, 1976).
